  Temperature      Weight        HeatFlow
      °C              %             W/g
     33.79          100.0          13.23
     33.80          100.0          13.23
     33.81          100.0          13.24
     33.81          99.99          13.24
     33.82          99.99          13.24
     33.82          99.99          13.24
     33.84          99.99          13.24
     33.85          99.98          13.25
     33.85          99.98          13.25
     33.87          99.98          13.25
     33.87          99.97          13.26
     33.89          99.97          13.26
     33.90          99.96          13.27
     33.91          99.96          13.27
     33.93          99.96          13.27
     33.94          99.95          13.28
     33.96          99.95          13.28
     33.98          99.95          13.28
     34.00          99.94          13.29
     34.01          99.94          13.29
     34.04          99.94          13.29
     34.06          99.93          13.29
     34.08          99.93          13.30
     34.10          99.92          13.30
     34.13          99.92          13.30
     34.15          99.91          13.30
     34.17          99.91          13.30
     34.20          99.91          13.30
     34.23          99.90          13.30
     34.27          99.90          13.30
     34.29          99.90          13.30
     34.32          99.90          13.30
     34.36          99.89          13.30
     34.38          99.90          13.30
     34.42          99.89          13.30
     34.45          99.89          13.29
     34.49          99.89          13.29
     34.53          99.88          13.29
     34.56          99.88          13.28
     34.60          99.88          13.28
     34.64          99.88          13.28
     34.68          99.87          13.27
     34.72          99.87          13.27
     34.76          99.86          13.26
     34.80          99.86          13.26
     34.85          99.86          13.25
     34.90          99.85          13.25
     34.94          99.85          13.24
     34.98          99.85          13.24
     35.03          99.84          13.23
     35.08          99.84          13.22
     35.12          99.83          13.22
     35.18          99.83          13.21
     35.23          99.83          13.20
     35.28          99.82          13.19
     35.34          99.82          13.18
     35.40          99.82          13.18
     35.44          99.81          13.17
     35.50          99.81          13.16
     35.56          99.81          13.15
     35.62          99.81          13.14
     35.67          99.80          13.13
     35.73          99.80          13.12
     35.79          99.80          13.10
     35.85          99.80          13.09
     35.91          99.79          13.08
     35.97          99.79          13.07
     36.04          99.79          13.06
     36.10          99.78          13.05
     36.17          99.78          13.03
     36.23          99.77          13.02
     36.30          99.77          13.01
     36.36          99.76          12.99
     36.42          99.76          12.98
     36.50          99.76          12.97
     36.56          99.75          12.95
     36.63          99.75          12.94
     36.70          99.75          12.92
     36.77          99.74          12.91
     36.85          99.74          12.89
     36.92          99.74          12.88
     36.99          99.74          12.86
     37.06          99.74          12.84
     37.13          99.73          12.83
     37.20          99.73          12.81
     37.28          99.73          12.79
     37.36          99.73          12.78
     37.43          99.72          12.76
     37.51          99.72          12.74
